sorted

n, qsort, merge_sort, radix_sort, parallel_radix_sort
        4, 0.000000, 0.000000, 0.000001, 0.002252, 
        8, 0.000000, 0.000000, 0.000001, 0.002066, 
       16, 0.000001, 0.000000, 0.000001, 0.002082, 
       32, 0.000001, 0.000001, 0.000001, 0.002066, 
       64, 0.000003, 0.000002, 0.000002, 0.002046, 
      128, 0.000005, 0.000004, 0.000003, 0.001756, 
      256, 0.000009, 0.000008, 0.000006, 0.001787, 
      512, 0.000019, 0.000017, 0.000009, 0.001769, 
     1024, 0.000041, 0.000035, 0.000018, 0.001772, 
     2048, 0.000086, 0.000075, 0.000035, 0.001748, 
     4096, 0.000183, 0.000160, 0.000069, 0.001818, 
     8192, 0.000387, 0.000342, 0.000149, 0.001864, 
    16384, 0.000821, 0.000729, 0.000420, 0.001905, 
    32768, 0.001564, 0.001379, 0.000758, 0.002025, 
    65536, 0.003287, 0.002924, 0.001835, 0.002640, 
   131072, 0.006875, 0.006189, 0.005040, 0.003677, 
   262144, 0.014566, 0.013087, 0.010223, 0.005982, 
   524288, 0.030446, 0.027552, 0.021296, 0.012095, 
  1048576, 0.063677, 0.058134, 0.053615, 0.026704, 
  2097152, 0.134991, 0.122684, 0.118111, 0.051718, 
  4194304, 0.280067, 0.258133, 0.248873, 0.104755, 

reversed

n, qsort, merge_sort, radix_sort, parallel_radix_sort
        4, 0.000000, 0.000000, 0.000001, 0.001787, 
        8, 0.000000, 0.000000, 0.000001, 0.001765, 
       16, 0.000001, 0.000000, 0.000001, 0.001849, 
       32, 0.000002, 0.000001, 0.000001, 0.001797, 
       64, 0.000003, 0.000002, 0.000002, 0.001770, 
      128, 0.000006, 0.000004, 0.000003, 0.001769, 
      256, 0.000011, 0.000008, 0.000005, 0.001756, 
      512, 0.000021, 0.000016, 0.000009, 0.001765, 
     1024, 0.000044, 0.000035, 0.000018, 0.001799, 
     2048, 0.000092, 0.000074, 0.000034, 0.001779, 
     4096, 0.000195, 0.000160, 0.000069, 0.001785, 
     8192, 0.000414, 0.000342, 0.000148, 0.001800, 
    16384, 0.000877, 0.000730, 0.000432, 0.001919, 
    32768, 0.001638, 0.001379, 0.000754, 0.002035, 
    65536, 0.003435, 0.002923, 0.001639, 0.002639, 
   131072, 0.007237, 0.006188, 0.005049, 0.003426, 
   262144, 0.015173, 0.013098, 0.010256, 0.005752, 
   524288, 0.031897, 0.027595, 0.021364, 0.012000, 
  1048576, 0.066771, 0.058212, 0.057396, 0.026494, 
  2097152, 0.140409, 0.122616, 0.134877, 0.051528, 
  4194304, 0.293051, 0.258132, 0.283201, 0.129118, 

90 percent sorted

n, qsort, merge_sort, radix_sort, parallel_radix_sort
        4, 0.000000, 0.000000, 0.000001, 0.001826, 
        8, 0.000000, 0.000000, 0.000001, 0.001779, 
       16, 0.000001, 0.000000, 0.000001, 0.001813, 
       32, 0.000003, 0.000001, 0.000001, 0.001780, 
       64, 0.000005, 0.000002, 0.000002, 0.001789, 
      128, 0.000011, 0.000004, 0.000003, 0.001731, 
      256, 0.000023, 0.000008, 0.000005, 0.001777, 
      512, 0.000047, 0.000017, 0.000009, 0.001763, 
     1024, 0.000097, 0.000035, 0.000017, 0.001781, 
     2048, 0.000201, 0.000074, 0.000035, 0.001822, 
     4096, 0.000417, 0.000160, 0.000066, 0.001859, 
     8192, 0.000853, 0.000342, 0.000130, 0.001847, 
    16384, 0.001761, 0.000731, 0.000261, 0.001917, 
    32768, 0.003684, 0.001379, 0.000472, 0.002040, 
    65536, 0.006783, 0.002923, 0.001206, 0.002558, 
   131072, 0.014291, 0.006188, 0.002679, 0.003327, 
   262144, 0.029784, 0.013064, 0.005491, 0.005154, 
   524288, 0.061530, 0.027562, 0.010960, 0.009720, 
  1048576, 0.130042, 0.058137, 0.019750, 0.018808, 
  2097152, 0.270042, 0.122821, 0.051375, 0.034776, 
  4194304, 0.578086, 0.257887, 0.122183, 0.079399, 

random

n, qsort, merge_sort, radix_sort, parallel_radix_sort
        4, 0.000000, 0.000000, 0.000001, 0.001809, 
        8, 0.000000, 0.000000, 0.000001, 0.001799, 
       16, 0.000001, 0.000000, 0.000001, 0.001810, 
       32, 0.000003, 0.000001, 0.000001, 0.001846, 
       64, 0.000006, 0.000002, 0.000001, 0.001758, 
      128, 0.000014, 0.000004, 0.000003, 0.001776, 
      256, 0.000030, 0.000008, 0.000003, 0.001773, 
      512, 0.000063, 0.000016, 0.000006, 0.001769, 
     1024, 0.000134, 0.000035, 0.000012, 0.001802, 
     2048, 0.000286, 0.000075, 0.000023, 0.001787, 
     4096, 0.000602, 0.000160, 0.000046, 0.001817, 
     8192, 0.001286, 0.000342, 0.000093, 0.001863, 
    16384, 0.002432, 0.000650, 0.000166, 0.001983, 
    32768, 0.005129, 0.001384, 0.000340, 0.002131, 
    65536, 0.010864, 0.002924, 0.000804, 0.002404, 
   131072, 0.022868, 0.006191, 0.001786, 0.003360, 
   262144, 0.047883, 0.013082, 0.004284, 0.004957, 
   524288, 0.101759, 0.027577, 0.008005, 0.009354, 
  1048576, 0.211760, 0.058159, 0.016085, 0.017400, 
  2097152, 0.442437, 0.122798, 0.037250, 0.031242, 
  4194304, 0.925444, 0.257845, 0.090880, 0.064280, 
